	errors_2	subject	realness	condition	N
0	250	0	0	1	696
1	206	0	1	1	696
2	244	1	0	1	696
3	184	1	1	1	696
4	117	2	0	1	696
5	79	2	1	1	696
6	177	3	0	1	696
7	117	3	1	1	696
8	208	4	0	1	696
9	138	4	1	1	696
10	129	5	0	1	696
11	81	5	1	1	696
12	196	6	0	1	696
13	129	6	1	1	696
14	244	7	0	1	696
15	198	7	1	1	696
16	255	8	0	1	696
17	169	8	1	1	696
18	68	9	0	1	696
19	37	9	1	1	696
20	128	10	0	1	696
21	92	10	1	1	696
22	203	11	0	1	696
23	146	11	1	1	696
24	264	12	0	1	696
25	169	12	1	1	696
26	205	13	0	1	696
27	119	13	1	1	696
28	271	14	0	1	696
29	227	14	1	1	696
30	211	15	0	1	696
31	124	15	1	1	696
32	270	16	0	1	696
33	199	16	1	1	696
34	125	17	0	1	696
35	65	17	1	1	696
36	171	18	0	1	696
37	108	18	1	1	696
38	160	19	0	0	696
39	120	19	1	0	696
40	109	20	0	0	696
41	82	20	1	0	696
42	231	21	0	0	696
43	167	21	1	0	696
44	141	22	0	0	696
45	70	22	1	0	696
46	216	23	0	0	696
47	159	23	1	0	696
48	182	24	0	0	696
49	116	24	1	0	696
50	225	25	0	0	696
51	170	25	1	0	696
52	153	26	0	0	696
53	72	26	1	0	696
54	251	27	0	0	696
55	164	27	1	0	696
56	243	28	0	0	696
57	145	28	1	0	696
58	206	29	0	0	696
59	152	29	1	0	696
60	164	30	0	0	696
61	72	30	1	0	696
62	296	31	0	0	696
63	182	31	1	0	696
64	252	32	0	0	696
65	181	32	1	0	696
66	343	33	0	0	696
67	247	33	1	0	696
68	337	34	0	0	696
69	280	34	1	0	696
70	233	35	0	0	696
71	178	35	1	0	696
72	264	36	0	0	696
73	170	36	1	0	696
74	227	37	0	0	696
75	169	37	1	0	696
